year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,2609,768390,20210113,,LIBERTARIAN,7.0
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,998387,1953600,20210113,,DEMOCRAT,1.0
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,927443,1953600,20210113,,REPUBLICAN,2.0
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,24029,1953600,20210113,,OTHER,3.0
1976,MISSOURI,MO,29,43,34,US PRESIDENT,OTHER,,False,3741,1953600,20210113,,OTHER,4.0
1976,MONTANA,MT,30,81,64,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,173703,328734,20210113,,REPUBLICAN,1.0
1976,MONTANA,MT,30,81,64,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,149259,328734,20210113,,DEMOCRAT,2.0
1976,MONTANA,MT,30,81,64,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,5772,328734,20210113,,OTHER,3.0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,359219,606749,20210113,,REPUBLICAN,1.0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,233293,606749,20210113,,DEMOCRAT,2.0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,9383,606749,20210113,,OTHER,3.0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,3378,606749,20210113,,OTHER,4.0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,1476,606749,20210113,,LIBERTARIAN,5.0
1976,NEVADA,NV,32,88,65,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,101273,201876,20210113,,REPUBLICAN,1.0
1976,NEVADA,NV,32,88,65,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,92479,201876,20210113,,DEMOCRAT,2.0
1976,NEVADA,NV,32,88,65,US PRESIDENT,OTHER,,False,5108,201876,20210113,,OTHER,3.0
1976,NEVADA,NV,32,88,65,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,1519,201876,20210113,,LIBERTARIAN,4.0
1976,NEVADA,NV,32,88,65,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,1497,201876,20210113,,OTHER,5.0
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,185935,339627,20210113,,REPUBLICAN,1.0
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,147645,339627,20210113,,DEMOCRAT,2.0
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,4095,339627,20210113,,OTHER,3.0
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,936,339627,20210113,,LIBERTARIAN,4.0
