year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,previous_winner_party,change
1996,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1123323,2253837,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WASHINGTON,WA,53,91,73,US PRESIDENT,"GORE, AL",DEMOCRAT,False,1247652,2487433,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,WASHINGTON,WA,53,91,73,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,1510201,2859084,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,WASHINGTON,WA,53,91,73,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1750848,3036878,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,WASHINGTON,WA,53,91,73,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1755396,3125516,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1742718,3317019,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,WASHINGTON,WA,53,91,73,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2369612,4087631,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,435864,750590,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,367462,737715,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,405483,735742,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1988,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,341016,653311,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,331001,683677,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,327812,636459,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,336475,648124,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,423778,755792,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,397466,713451,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,417655,670438,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,489371,713051,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,545382,794652,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1040232,2101336,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1088845,2273221,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1198584,2211689,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WISCONSIN,WI,55,35,25,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,1126794,2191608,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WISCONSIN,WI,55,35,25,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1041066,2531064,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,WISCONSIN,WI,55,35,25,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1071971,2196169,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WISCONSIN,WI,55,35,25,US PRESIDENT,"GORE, AL",DEMOCRAT,False,1242987,2598607,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,WISCONSIN,WI,55,35,25,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,1489504,2997007,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,WISCONSIN,WI,55,35,25,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1677211,2983417,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,WISCONSIN,WI,55,35,25,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1620985,3071434,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,WISCONSIN,WI,55,35,25,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1405284,2976150,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1630866,3298041,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1976,WYOMING,WY,56,83,68,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,92717,156343,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,110700,176713,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,133241,188968,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,106867,176551,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,79347,199884,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,WYOMING,WY,56,83,68,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,105388,211571,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,147947,213726,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,167629,243861,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,WYOMING,WY,56,83,68,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,164958,254904,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,WYOMING,WY,56,83,68,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,170962,250701,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,WYOMING,WY,56,83,68,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,174419,258788,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,WYOMING,WY,56,83,68,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,193559,278503,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
