level_0,index,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,second_candidate_votes,margin,relative_margin
182,618,1980,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439277,888258,20210113,,REPUBLICAN,1.0,428220.0,11057.0,0.012447959939567108
184,623,1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,198343,327703,20210113,,REPUBLICAN,1.0,103855.0,94488.0,0.28833425388232636
186,628,1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,787761,1617616,20210113,,REPUBLICAN,1.0,783051.0,4710.0,0.002911692268127912
188,639,1980,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2510705,4541636,20210113,,REPUBLICAN,1.0,1881147.0,629558.0,0.13861921122696755
190,644,1980,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439687,604152,20210113,,REPUBLICAN,1.0,124266.0,315421.0,0.5220888120870245
192,653,1980,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,94628,213299,20210113,,REPUBLICAN,1.0,81952.0,12676.0,0.059428314244323696
194,662,1980,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,989609,1866032,20210113,,REPUBLICAN,1.0,752174.0,237435.0,0.12724058322686857
196,668,1980,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,865244,1742394,20210113,,REPUBLICAN,1.0,650193.0,215051.0,0.12342271610209861
198,677,1980,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,367462,737715,20210113,,DEMOCRAT,1.0,334206.0,33256.0,0.04507973946578286
200,681,1980,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1088845,2273221,20210113,,REPUBLICAN,1.0,981584.0,107261.0,0.047184589619751006
202,692,1980,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,110700,176713,20210113,,REPUBLICAN,1.0,49427.0,61273.0,0.34673736510613257
204,696,1984,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,872849,1441713,20210113,,REPUBLICAN,1.0,551899.0,320950.0,0.2226171228254167
206,703,1984,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,138377,207605,20210113,,REPUBLICAN,1.0,62007.0,76370.0,0.36786204571180847
208,707,1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,681416,1025897,20210113,,REPUBLICAN,1.0,333854.0,347562.0,0.3387883968858472
210,711,1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,534774,884406,20210113,,REPUBLICAN,1.0,338646.0,196128.0,0.22176240324014085
212,721,1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,5467009,9505041,20210113,,REPUBLICAN,1.0,3922519.0,1544490.0,0.1624916715246152
214,726,1984,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,821817,1295380,20210113,,REPUBLICAN,1.0,454975.0,366842.0,0.2831925766956414
216,734,1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,890877,1466900,20210113,,REPUBLICAN,1.0,569597.0,321280.0,0.21901970141113913
218,739,1984,DELAWARE,DE,10,51,11,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,152190,254572,20210113,,REPUBLICAN,1.0,101656.0,50534.0,0.19850572725987148
220,745,1984,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,180408,211288,20210113,,DEMOCRAT,1.0,29009.0,151399.0,0.7165527621066979
222,754,1984,FLORIDA,FL,12,59,43,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2730350,4180051,20210113,,REPUBLICAN,1.0,1448816.0,1281534.0,0.3065833407295748
224,757,1984,GEORGIA,GA,13,58,44,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1068722,1776103,20210113,,REPUBLICAN,1.0,706628.0,362094.0,0.2038699332189631
226,760,1984,HAWAII,HI,15,95,82,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,185050,335846,20210113,,REPUBLICAN,1.0,147154.0,37896.0,0.11283743144179177
228,765,1984,IDAHO,ID,16,82,63,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,297523,411144,20210113,,REPUBLICAN,1.0,108510.0,189013.0,0.4597245733854805
230,769,1984,ILLINOIS,IL,17,33,21,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2707103,4819088,20210113,,REPUBLICAN,1.0,2086499.0,620604.0,0.12878038334224234
232,778,1984,INDIANA,IN,18,32,22,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1377230,2233069,20210113,,REPUBLICAN,1.0,841481.0,535749.0,0.23991600796930143
234,782,1984,IOWA,IA,19,42,31,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,703088,1319805,20210113,,REPUBLICAN,1.0,605620.0,97468.0,0.07385030364334125
236,791,1984,KANSAS,KS,20,47,32,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,677296,1021991,20210113,,REPUBLICAN,1.0,333149.0,344147.0,0.3367417129896447
238,797,1984,KENTUCKY,KY,21,61,51,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,821702,1369345,20210113,,REPUBLICAN,1.0,539539.0,282163.0,0.2060569104206756
240,806,1984,LOUISIANA,LA,22,72,45,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1037299,1706822,20210113,,REPUBLICAN,1.0,651586.0,385713.0,0.2259831429405058
242,814,1984,MAINE,ME,23,11,2,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,336500,553144,20210113,,REPUBLICAN,1.0,214515.0,121985.0,0.22053027783000448
244,819,1984,MARYLAND,MD,24,52,52,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,879918,1675873,20210113,,REPUBLICAN,1.0,787935.0,91983.0,0.05488661730333981
246,825,1984,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1310936,2559383,20210113,,REPUBLICAN,1.0,1239606.0,71330.0,0.027869998355072298
248,829,1984,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2251571,3801658,20210113,,REPUBLICAN,1.0,1529638.0,721933.0,0.18989951226543786
250,840,1984,MINNESOTA,MN,27,41,33,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,1036364,2084449,20210113,,DEMOCRAT,1.0,1032603.0,3761.0,0.0018043137538985123
252,851,1984,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,582377,941104,20210113,,REPUBLICAN,1.0,352192.0,230185.0,0.24459039596048895
254,859,1984,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1274188,2122771,20210113,,REPUBLICAN,1.0,848583.0,425605.0,0.2004950133575407
256,861,1984,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,232450,384377,20210113,,REPUBLICAN,1.0,146742.0,85708.0,0.22297900238567864
258,864,1984,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,460054,652090,20210113,,REPUBLICAN,1.0,187866.0,272188.0,0.41740863991166866
260,869,1984,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,188770,282717,20210113,,REPUBLICAN,1.0,91655.0,97115.0,0.34350605021983116
262,872,1984,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,267050,388904,20210113,,REPUBLICAN,1.0,120347.0,146703.0,0.3772216279595993
264,877,1984,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1933630,3217862,20210113,,REPUBLICAN,1.0,1261323.0,672307.0,0.20892971793072543
266,886,1984,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,307101,514370,20210113,,REPUBLICAN,1.0,201769.0,105332.0,0.20477866127495772
268,894,1984,NEW YORK,NY,36,21,13,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3376519,6806810,20210113,,REPUBLICAN,1.0,3001285.0,375234.0,0.05512626325694415
270,903,1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1346481,2175361,20210113,,REPUBLICAN,1.0,824287.0,522194.0,0.24004935272812192
